X [ m ], Y [ m ], Z [ m ], Density [ kg m^-3 ], Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
6.34672716e-02, 1.24258183e-01, -4.14546952e-02, 3.53966117e+00, 4.57109950e+06, 3.46664185e+03, 0.00000000e+00
6.56547397e-02, 1.19284876e-01, -3.78951281e-02, 3.53974819e+00, 4.57129300e+06, 3.46670386e+03, 0.00000000e+00
6.85332119e-02, 1.11824892e-01, -3.23331095e-02, 3.53998041e+00, 4.57174200e+06, 3.46681763e+03, 0.00000000e+00
7.07992762e-02, 1.06229916e-01, -2.70581562e-02, 3.54017019e+00, 4.57210000e+06, 3.46690210e+03, 0.00000000e+00
7.23530576e-02, 9.93916020e-02, -2.26190314e-02, 3.54064536e+00, 4.57290800e+06, 3.46705029e+03, 0.00000000e+00
7.23530576e-02, 9.44182798e-02, -2.26190314e-02, 3.54111791e+00, 4.57368000e+06, 3.46717285e+03, 0.00000000e+00
7.34893233e-02, 8.94449577e-02, -1.85985416e-02, 3.54173923e+00, 4.57471300e+06, 3.46734717e+03, 0.00000000e+00
-2.83004493e-02, 6.94906563e-02, -6.97337613e-02, 3.54568863e+00, 4.58073800e+06, 3.46804883e+03, 0.00000000e+00
-2.45579816e-02, 7.44982287e-02, -7.16020986e-02, 3.54487658e+00, 4.57946200e+06, 3.46787549e+03, 0.00000000e+00
7.42059425e-02, 6.95005357e-02, -1.23731159e-02, 3.54565525e+00, 4.58097950e+06, 3.46826514e+03, 0.00000000e+00
7.44023621e-02, 8.44716355e-02, -1.45215513e-02, 3.54257751e+00, 4.57609200e+06, 3.46757275e+03, 0.00000000e+00
7.50893950e-02, 7.94983134e-02, -1.04004433e-02, 3.54366875e+00, 4.57784650e+06, 3.46783228e+03, 0.00000000e+00
5.68524338e-02, 3.45593579e-02, -4.70248051e-03, 3.52428770e+00, 4.54961500e+06, 3.46479297e+03, 0.00000000e+00
5.31851538e-02, 3.13421302e-02, -1.38949486e-03, 3.50681591e+00, 4.52467600e+06, 3.46210474e+03, 0.00000000e+00
4.63085361e-02, 2.67941263e-02, -4.18461720e-03, 3.44604135e+00, 4.43365900e+06, 3.45154370e+03, 0.00000000e+00
3.74418236e-02, 1.89831294e-02, -5.60873840e-03, 3.12850785e+00, 3.94695025e+06, 3.38360254e+03, 0.00000000e+00
3.14320475e-02, 6.11388031e-03, -6.12758892e-03, 2.30182910e+00, 2.74072775e+06, 3.17030762e+03, 0.00000000e+00
7.33694136e-02, 6.21100292e-02, -8.11071228e-03, 3.54585838e+00, 4.58130550e+06, 3.46830737e+03, 0.00000000e+00
7.20260441e-02, 5.67077175e-02, -2.48805806e-03, 3.54520988e+00, 4.58029400e+06, 3.46816162e+03, 0.00000000e+00
6.36152402e-02, 4.19507958e-02, -5.26154786e-03, 3.53823304e+00, 4.56991050e+06, 3.46699023e+03, 0.00000000e+00
6.56871498e-02, 4.44857739e-02, -1.36851112e-03, 3.54023409e+00, 4.57285050e+06, 3.46730518e+03, 0.00000000e+00
6.92059025e-02, 5.04122041e-02, 1.91926013e-03, 3.54337788e+00, 4.57751650e+06, 3.46782275e+03, 0.00000000e+00
6.05636574e-02, 3.80912013e-02, 8.65996753e-06, 3.53289652e+00, 4.56204900e+06, 3.46610156e+03, 0.00000000e+00
3.53962146e-02, -1.70011837e-02, -1.82387903e-02, 4.19763178e-01, 3.92871906e+05, 2.51517798e+03, 0.00000000e+00
3.53019424e-02, -1.42092379e-02, -1.43340444e-02, 4.33255196e-01, 4.10940063e+05, 2.55141992e+03, 0.00000000e+00
3.81898358e-02, -2.74484213e-02, -2.55915262e-02, 3.86727095e-01, 3.49288875e+05, 2.42676074e+03, 0.00000000e+00
4.04634885e-02, -3.54532301e-02, -3.01446933e-02, 3.56984437e-01, 3.13874313e+05, 2.36254419e+03, 0.00000000e+00
3.12653258e-02, -3.06040118e-03, -5.66160399e-03, 1.13875866e+00, 1.18172900e+06, 2.74584912e+03, 0.00000000e+00
3.41561437e-02, -1.00143366e-02, -9.62749589e-03, 4.83794779e-01, 4.60987563e+05, 2.58140967e+03, 0.00000000e+00
3.99096124e-02, -4.32151482e-02, -3.72711495e-02, 3.27550292e-01, 2.80056281e+05, 2.29712549e+03, 0.00000000e+00
3.63891497e-02, -4.15638909e-02, -3.95238996e-02, 3.33957732e-01, 2.87479500e+05, 2.31254346e+03, 0.00000000e+00
1.86683666e-02, -2.83340383e-02, -4.25554328e-02, 3.82317811e-01, 3.43172500e+05, 2.41155298e+03, 0.00000000e+00
2.31896881e-02, -3.71281467e-02, -4.58194315e-02, 3.50329995e-01, 3.05282188e+05, 2.34110083e+03, 0.00000000e+00
2.80260686e-02, -4.60247509e-02, -4.85374369e-02, 3.19548726e-01, 2.71037656e+05, 2.27849194e+03, 0.00000000e+00
1.24280108e-02, -2.39650514e-02, -4.21639495e-02, 3.97725940e-01, 3.62629969e+05, 2.44945825e+03, 0.00000000e+00
1.71599854e-02, -3.27180251e-02, -4.58279476e-02, 3.66911709e-01, 3.24158594e+05, 2.37358398e+03, 0.00000000e+00
7.26862112e-03, -1.96688361e-02, -4.07760814e-02, 4.11082178e-01, 3.81134219e+05, 2.49093604e+03, 0.00000000e+00
3.52728646e-03, -2.18386464e-02, -4.25644852e-02, 4.04198527e-01, 3.70766313e+05, 2.46457764e+03, 0.00000000e+00
3.56334932e-02, -4.60247509e-02, -4.32619676e-02, 3.19171250e-01, 2.71051531e+05, 2.28129199e+03, 0.00000000e+00
3.45436670e-02, -5.05102202e-02, -4.69928384e-02, 3.05246592e-01, 2.55780063e+05, 2.25086035e+03, 0.00000000e+00
3.31205949e-02, -5.50197773e-02, -5.06892093e-02, 2.91967601e-01, 2.41655547e+05, 2.22318359e+03, 0.00000000e+00
-5.80381230e-03, 1.74569543e-02, -3.62396389e-02, 3.04260921e+00, 3.81499575e+06, 3.36237744e+03, 0.00000000e+00
